Restaurant,Review,Rating,Edited_Review,language,Split_Review,food_roberta_score,food_roberta_stars,ambiance_roberta_score,ambiance_roberta_stars,service_roberta_score,service_roberta_stars,taste_roberta_score,taste_roberta_stars,staff_roberta_score,staff_roberta_stars,waiting time_roberta_score,waiting time_roberta_stars,quality_roberta_score,quality_roberta_stars,quantity_roberta_score,quantity_roberta_stars,delivery_roberta_score,delivery_roberta_stars,cleanliness_roberta_score,cleanliness_roberta_stars,price_roberta_score,price_roberta_stars,music_roberta_score,music_roberta_stars,general_roberta_score,general_roberta_stars
Beyond Flavours,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.",5.0,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective . Good place for a sate brunch. One can also chill with friends and or parents. Waiter Soumen Das was really courteous and helpful.",en,The ambience was good. Food was quite good. Had Saturday lunch. Lunch was cost effective. Good place for a sate brunch. One can also chill with friends. One can also chill with parents. Waiter Soumen Das was really courteous. Waiter Soumen Das was helpful.,0.9987519979476929,5.0,0.9988362193107605,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987419247627258,5.0,0.0,0.0,5.0,5.0
Beyond Flavours,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,5.0,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,en,"Ambiance is too good. Ambiance is good for a pleasant evening. Service is very prompt. Food is good. Over all, a good experience. Soumen Das - kudos to the service.",0.9985149502754211,5.0,0.9976453185081482,5.0,0.9987499713897705,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Beyond Flavours,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,5.0,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) . Also the music in the background is amazing.,en,A must try. Great food. Great ambience. Thanks for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta. Also the music in the background is amazing.,0.9987643957138062,5.0,0.9988017082214355,5.0,0.9987524747848511,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988549947738647,5.0,5.0,5.0
Beyond Flavours,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",5.0,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",en,Soumen das and Arun was a great guy. Only because of their behavior and sincerity. And good food off course. I would like to visit this place again.,0.998749852180481,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997979462146759,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Beyond Flavours,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,5.0,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,en,Food is good. We ordered Kodi drumsticks. We ordered basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,0.9985149502754211,5.0,0.9987934827804565,5.0,0.9987813830375671,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Beyond Flavours,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",5.0,"Ambiance is good, service is good, food is aPradeecp and subro best service Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",en,Ambiance is good. Service is good. Food is aPradeecp. Food is good. Papiya is a good hostess. Your caption is very good. This is a 4-star restaurant.,0.9962851107120514,5.0,0.998699426651001,5.0,0.9986781477928162,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Beyond Flavours,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",5.0,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",en,It's a very nice place. Ambience is different. All the food we ordered was very tasty. Service is also good. It's worth a visit. It's reasonable as well. Really a must-visit place.,0.9988718628883362,5.0,-0.9380700588226318,1.0,0.9987298846244812,5.0,0.9988718628883362,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Beyond Flavours,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,4.0,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,en,"Well, after reading so many reviews... Finally, visited this place. The ambience was so good. Coming to food, crispy corn is nice. Tawa fish was ok. Basket Biryani disappointed us. Biryani was ok but not flattering as they claimed. Staff was polite and prompt. Especially Pradeep and Suman.",0.9981825351715088,5.0,0.9988440275192261,5.0,0.0,0.0,0.0,0.0,0.9988295435905457,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Beyond Flavours,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",5.0,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",en,"Excellent food. Specially if you like spicy food. Courteous staff. Shubro, pradeep, and papiya gave excellent service to our corporate team dinner. Overall great for team dinners and party.",0.9981676340103149,5.0,0.0,0.0,0.9987747073173523,5.0,0.0,0.0,0.9987651109695435,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Beyond Flavours,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",5.0,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",en,Came for the birthday treat. Treat of a close friend. Perfect place for a treat. Very hospitable staff. Cooperative staff. Food was delicious. Ambience was good. Music was good. Lighting was good. Chili honey lotus stem is a must try. Special mention to Papiya. Papiya took good care of us.,0.9987275004386902,5.0,0.9986114501953125,5.0,0.0,0.0,0.0,0.0,0.9987528920173645,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987215399742126,5.0,5.0,5.0
